identifiant,type_de_logement,zonage_classification,facade_en_pieds,superficie_du_lot_pieds,type_de_route,acces_a_une_allee,forme_du_lot,topographie_du_terrain,services_publics_disponibles,configuration_du_lot,inclinaison_du_terrain,quartier,proximite_1ere_condition,proximite_2e_condition,type_de_batiment,style_de_maison,qualite_globale,etat_general,annee_de_construction,annee_de_renovation,style_de_toit,materiau_du_toit,revetement_exterieur_1,revetement_exterieur_2,type_de_parement_en_maconnerie,surface_de_parement_pieds,qualite_exterieure,etat_exterieur,type_de_fondation,qualite_du_sous_sol,etat_general_du_sous_sol,exposition_du_sous_sol,type_de_finition_sous_sol_1,surface_finie_sous_sol,type_de_finition_sous_sol_2,surface_finie_sous_sol_2,surface_non_finie_sous_sol,total_surface_sous_sol,type_de_chauffage,qualite_du_chauffage,climatisation_centrale,systeme_electrique,surface_du_premier_etage,surface_du_deuxieme_etage,surface_finie_basse_qualite_pieds,surface_habitable_totale,salles_de_bain_completes_sous_sol,demi_salles_de_bain_sous_sol,salles_de_bain_completes,demi_salles_de_bain,chambres_hors_sous_sol,cuisines_hors_sous_sol,qualite_de_la_cuisine,total_des_pieces_hors_sous_sol,fonctionnalite_globale,nombre_de_cheminees,qualite_de_la_cheminee,type_de_garage,annee_de_construction_du_garage,finition_interieure_du_garage,capacite_du_garage_voitures,surface_du_garage,qualite_du_garage,condition_du_garage,allee_pavee,surface_du_deck_en_bois,surface_du_porche_ouvert,porche_ferme,porche_trois_saisons,porche_screen,surface_de_la_piscine_pieds,qualite_de_la_piscine,cloture,caracteristiques_supplementaires,valeur_des_caracteristiques_supplementaires,mois_de_vente,annee_de_vente,type_de_vente,condition_de_la_vente,prix_de_vente,prix_de_vente_log,age_maison,age_renovation,age_garage,surface_totale,surface_totale_porches,total_salles_bain,presence_garage
607,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,82,12464,Pavé,NA,Modérément irrégulier,Dépression,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente modérée,College Creek,Normale,Normale,Maison individuelle,Un étage,Moyenne,Moyenne,1996,1996,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Moyen,Bon,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,732,Non fini,0,308,1040.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1040,0,0,1040,1,0,1,0,3,1,Bon,6,Typ,0,NA,Détaché de la maison,2000.0,Non aménagé,2,576,Moyen,Moyen,Pavé,168,0,0,0,0,0,NA,Bonne intimité,NA,0,Novembre,2009,Acte de garantie - Conventionnel,Vente normale,152000,11.93164237875414,13,13,9.0,2080.0,0,2.0,1
608,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,78,7800,Pavé,NA,Régulier,Bordure - Montée rapide,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente modérée,Edwards,Normale,Normale,Maison individuelle,Deux étages,Moyenne,Très bon,1948,2002,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Bon,CBlock,Moyen,Bon,Aucune exposition,Fini - Excellent,603,Non fini,0,293,896.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1112,896,0,2008,1,0,3,0,3,1,Excellent,8,Typ,0,NA,Attaché à la maison,1948.0,Non aménagé,1,230,Moyen,Moyen,Pavé,103,0,0,0,0,0,NA,NA,NA,0,Août,2006,Acte de garantie - Conventionnel,Vente normale,225000,12.323860125621126,58,4,58.0,2904.0,0,4.0,1
609,2 ÉTAGES 1945 ET PLUS ANCIEN,Résidentiel basse densité,78,12168,Pavé,NA,Régulier,En pente - Forte inclinaison,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente modérée,Crawford,Normale,Normale,Maison individuelle,Deux étages,Très bon,Au-dessus de la moyenne,1934,1998,Pignon,Bardeau composite standard,Brique apparente,Revêtement en bois,Aucune,0,Moyen,Moyen,PConc,Bon,Moyen,Exposition moyenne,Partiellement fini,428,Non fini,0,537,965.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1940,1254,0,3194,0,0,2,1,4,1,Moyen,10,Typ,2,Bon - Cheminée en maçonnerie au rez-de-chaussée,Garage au sous-sol,1934.0,Non aménagé,2,380,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Septembre,2007,Acte de garantie - Conventionnel,Allocation (propriétés liées),359100,12.791358964949923,73,9,73.0,4159.0,0,2.5,1
610,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,61,7943,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer,Proche d'une route secondaire,Normale,Maison individuelle,Un étage,En dessous de la moyenne,Moyenne,1961,1961,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques communes,192,Moyen,Médiocre,CBlock,Moyen,Moyen,Exposition moyenne,Fini - Salle de jeux,903,Non fini,0,126,1029.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1029,0,0,1029,1,0,1,0,3,1,Moyen,5,Typ,0,NA,Attaché à la maison,1961.0,Non aménagé,1,261,Moyen,Moyen,Pavé,64,0,39,0,0,0,NA,NA,NA,0,Avril,2007,Acte de garantie - Conventionnel,Vente normale,118500,11.682676678340282,46,46,46.0,2058.0,39,2.0,1
611,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,NA,11050,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Proche d'un espace vert ou parc,Normale,Maison individuelle,Deux étages,Excellent,Moyenne,2000,2000,Pente,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,204,Bon,Moyen,PConc,Excellent,Moyen,Exposition moyenne,Fini - Excellent,904,Non fini,0,536,1440.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1476,677,0,2153,1,0,2,1,3,1,Excellent,8,Typ,2,Excellent - Cheminée en maçonnerie exceptionnelle,Attaché à la maison,2000.0,Aménagé,3,736,Moyen,Moyen,Pavé,253,142,0,0,0,0,NA,NA,NA,0,Mai,2009,Acte de garantie - Conventionnel,Vente normale,313000,12.653961664405363,9,9,9.0,3593.0,142,3.5,1
612,NIVEAUX MULTIPLES OU PARTIELS,Résidentiel basse densité,NA,10395,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Double façade,Pente douce,Northwest Ames,Normale,Normale,Maison individuelle,Niveaux divisés,Au-dessus de la moyenne,Au-dessus de la moyenne,1978,1978,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,Briques en façade,233,Moyen,Moyen,CBlock,Bon,Moyen,Exposition au niveau moyen,Fini - Moyenne,605,Non fini,0,427,1032.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1032,0,0,1032,0,1,2,0,3,1,Moyen,6,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1978.0,Non aménagé,2,564,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,Intimité minimale,Abri,500,Juillet,2007,Acte de garantie - Conventionnel,Vente normale,148000,11.904974309480185,29,29,29.0,2064.0,0,2.5,1
613,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,NA,11885,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Deux étages,Très bon,Moyenne,2001,2001,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,108,Bon,Moyen,PConc,Bon,Moyen,Exposition au niveau moyen,Fini - Excellent,990,Non fini,0,309,1299.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1299,573,0,1872,1,0,2,1,3,1,Excellent,7,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,"Garage intégré (fait partie de la maison, souvent avec une pièce au-dessus)",2001.0,Partiellement aménagé,2,531,Moyen,Moyen,Pavé,160,122,0,0,0,0,NA,NA,NA,0,Novembre,2009,Acte de garantie - Conventionnel,Vente normale,261500,12.47419338657158,8,8,8.0,3171.0,122,3.5,1
614,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,70,8402,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Mitchell,Proche d'une route secondaire,Normale,Maison individuelle,Un étage,Moyenne,Moyenne,2007,2007,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Moyen,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Moyenne,206,Non fini,0,914,1120.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1120,0,0,1120,0,0,1,0,3,1,Moyen,6,Typ,0,NA,NA,,NA,0,0,NA,NA,Pavé,0,30,0,0,0,0,NA,NA,NA,0,Décembre,2007,Maison neuve construite et vendue,Maison incomplète,147000,11.898194668458824,0,0,0.0,2240.0,30,1.0,0
615,PUD MULTI-NIVEAUX - INCLUT NIVEAUX DIVISÉS,Résidentiel densité moyenne,21,1491,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Meadow Village,Normale,Normale,Maison de ville (bout),Foyer divisé,En dessous de la moyenne,Au-dessus de la moyenne,1972,1972,Pignon,Bardeau composite standard,Panneau de ciment,Panneau de ciment,Aucune,0,Moyen,Moyen,CBlock,Bon,Moyen,Exposition au niveau moyen,Fini - Qualité inférieure,150,Fini - Excellent,480,0,630.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,630,0,0,630,1,0,1,0,1,1,Moyen,3,Typ,0,NA,NA,,NA,0,0,NA,NA,Pavé,96,24,0,0,0,0,NA,NA,NA,0,Mai,2010,Acte de garantie - Conventionnel,Vente normale,75500,11.231901180182517,38,38,0.0,1260.0,24,2.0,0
616,FOYER DIVISÉ,Résidentiel basse densité,80,8800,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Proche d'une route secondaire,Normale,Maison individuelle,Foyer divisé,Au-dessus de la moyenne,Bon,1963,1963,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Briques en façade,156,Moyen,Bon,PConc,Moyen,Moyen,Bonne exposition,Fini - Excellent,763,Non fini,0,173,936.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1054,0,0,1054,1,0,1,0,3,1,Bon,6,Typ,0,NA,Attaché à la maison,1963.0,Partiellement aménagé,2,480,Moyen,Moyen,Pavé,120,0,0,0,0,0,NA,Intimité minimale,NA,0,Mai,2010,Acte de garantie - Conventionnel,Vente anormale,137500,11.83138646878959,47,47,47.0,1990.0,0,2.0,1
617,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,NA,7861,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Gilbert,Normale,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Moyenne,2002,2003,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,457,Non fini,0,326,783.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,807,702,0,1509,1,0,2,1,3,1,Bon,7,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2002.0,Aménagé,2,393,Moyen,Moyen,Pavé,100,75,0,0,0,0,NA,NA,NA,0,Juin,2006,Acte de garantie - Conventionnel,Vente normale,183200,12.118339189722551,4,3,4.0,2292.0,75,3.5,1
618,1 ÉTAGE ET DEMI - NON AMÉNAGÉ - TOUS ÂGES,Résidentiel basse densité,59,7227,Pavé,NA,Régulier,En pente - Forte inclinaison,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente modérée,North Ames,Proche d'une artère principale,Normale,Maison individuelle,"Un étage et demi, non aménagé",Au-dessus de la moyenne,Au-dessus de la moyenne,1954,1954,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,832,832.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,832,0,0,832,0,0,1,0,2,1,Bon,4,Typ,0,NA,Détaché de la maison,1962.0,Non aménagé,2,528,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Juin,2008,Acte de garantie - Conventionnel,Vente normale,105500,11.56647571052632,54,54,46.0,1664.0,0,1.0,1
619,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,90,11694,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northridge Heights,Normale,Normale,Maison individuelle,Un étage,Excellent,Moyenne,2007,2007,Pente,Bardeau composite standard,Panneau de ciment,Panneau de ciment,Briques en façade,452,Excellent,Moyen,PConc,Excellent,Moyen,Exposition au niveau moyen,Fini - Excellent,48,Non fini,0,1774,1822.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1828,0,0,1828,0,0,2,0,3,1,Bon,9,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2007.0,Non aménagé,3,774,Moyen,Moyen,Pavé,0,108,0,0,260,0,NA,NA,NA,0,Juillet,2007,Maison neuve construite et vendue,Maison incomplète,314813,12.659737267217572,0,0,0.0,3650.0,368,2.0,1
620,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,85,12244,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Timberland,Normale,Normale,Maison individuelle,Deux étages,Très bon,Moyenne,2003,2003,Pente,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Pierre,226,Bon,Moyen,PConc,Bon,Moyen,Bonne exposition,Fini - Excellent,871,Non fini,0,611,1482.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1482,780,0,2262,1,0,2,1,4,1,Bon,10,Typ,2,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2003.0,Aménagé,3,749,Moyen,Moyen,Pavé,168,0,0,0,0,0,NA,NA,NA,0,Août,2008,Acte de garantie - Conventionnel,Vente normale,305000,12.628070334272698,5,5,5.0,3744.0,0,3.5,1
621,1 ÉTAGE 1945 ET PLUS ANCIEN,Résidentiel basse densité,45,8248,Pavé,Gravier,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Edwards,Normale,Normale,Maison individuelle,Un étage,Médiocre,Médiocre,1914,1950,Pignon,Bardeau composite standard,Stuc,Stuc,Aucune,0,Moyen,Moyen,BrkTil,Moyen,Moyen,Aucune exposition,Partiellement fini,41,Non fini,0,823,864.0,Chauffage à gaz,Moyen,Non,Fusibles,864,0,0,864,1,0,1,0,2,1,Moyen,5,Typ,0,NA,NA,,NA,0,0,NA,NA,Gravier/Terre,0,0,100,0,0,0,NA,NA,NA,0,Septembre,2008,Acte de garantie - Conventionnel,Vente normale,67000,11.112462823634855,94,58,0.0,1728.0,100,2.0,0
622,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,90,10800,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northwest Ames,Normale,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Bon,1974,1997,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Moyenne,956,Fini - Salle de jeux,182,384,1522.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1548,1066,0,2614,0,0,2,1,4,1,Moyen,9,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1974.0,Partiellement aménagé,2,624,Moyen,Moyen,Pavé,38,243,0,0,0,0,NA,NA,NA,0,Juin,2008,Acte de garantie - Conventionnel,Vente normale,240000,12.388398368982116,34,11,34.0,4136.0,243,2.5,1
623,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,71,7064,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer,Normale,Normale,Maison individuelle,Un étage,Moyenne,Au-dessus de la moyenne,1977,1977,Pignon,Bardeau composite standard,Contreplaqué,Contreplaqué,Briques en façade,153,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Partiellement fini,560,Non fini,0,420,980.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,980,0,0,980,0,0,1,0,3,1,Moyen,6,Typ,0,NA,Détaché de la maison,1986.0,Non aménagé,2,484,Moyen,Moyen,Pavé,192,0,0,0,0,0,NA,NA,NA,0,Juillet,2009,Acte de garantie - Conventionnel,Vente normale,135000,11.81303746480054,32,32,23.0,1960.0,0,1.0,1
624,2 ÉTAGES PUD - 1946 ET PLUS RÉCENT,Résidentiel flottant,NA,2117,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Somerset,Normale,Normale,Maison de ville (bout),Deux étages,Au-dessus de la moyenne,Moyenne,2000,2000,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Briques en façade,513,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,420,Non fini,0,336,756.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,756,756,0,1512,0,0,2,1,2,1,Bon,4,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Détaché de la maison,2000.0,Non aménagé,2,440,Moyen,Moyen,Pavé,0,32,0,0,0,0,NA,NA,NA,0,Juin,2007,Acte de garantie - Conventionnel,Vente normale,168500,12.034696963475044,7,7,7.0,2268.0,32,2.5,1
625,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,80,10400,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northwest Ames,Normale,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Moyenne,1972,1972,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,288,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Salle de jeux,247,Non fini,0,485,732.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1012,778,0,1790,1,0,1,2,4,1,Moyen,8,Min2,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1972.0,Partiellement aménagé,2,484,Moyen,Moyen,Pavé,148,0,0,0,147,0,NA,NA,NA,0,Novembre,2006,Acte de garantie - Conventionnel,Vente normale,165150,12.014615485902029,34,34,34.0,2522.0,147,3.0,1
626,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,87,10000,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Au-dessus de la moyenne,1962,1962,Pente,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Briques en façade,261,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,1116,1116.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1116,0,0,1116,0,0,1,1,3,1,Moyen,5,Typ,0,NA,Attaché à la maison,1962.0,Non aménagé,2,440,Moyen,Moyen,Pavé,0,0,0,0,385,0,NA,NA,NA,0,Février,2010,Acte de garantie - Conventionnel,Vente normale,160000,11.982935344196433,48,48,48.0,2232.0,385,1.5,1
627,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,NA,12342,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Moyenne,Moyenne,1960,1978,Pente,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,978,978.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1422,0,0,1422,0,0,1,0,3,1,Moyen,6,Min1,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1960.0,Partiellement aménagé,1,286,Moyen,Moyen,Pavé,0,0,36,0,0,0,NA,Bonne qualité en bois,Abri,600,Août,2007,Acte de garantie - Conventionnel,Vente normale,139900,11.848690308590855,47,29,47.0,2400.0,36,1.0,1
628,NIVEAUX MULTIPLES OU PARTIELS,Résidentiel basse densité,80,9600,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Niveaux divisés,Au-dessus de la moyenne,Au-dessus de la moyenne,1955,1972,Pignon,Bardeau composite standard,Bardeaux en amiante,Bardeaux en amiante,Briques en façade,164,Moyen,Moyen,CBlock,Moyen,Moyen,Exposition au niveau moyen,Partiellement fini,674,Fini - Qualité inférieure,132,350,1156.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1520,0,0,1520,1,0,1,0,3,1,Moyen,7,Typ,2,Bon - Cheminée en maçonnerie au rez-de-chaussée,Garage au sous-sol,1955.0,Partiellement aménagé,1,364,Moyen,Moyen,Pavé,0,0,189,0,0,0,NA,NA,NA,0,Mars,2010,Acte de garantie - Conventionnel,Vente normale,153000,11.938199736300923,55,38,55.0,2676.0,189,2.0,1
629,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,70,11606,Pavé,NA,Légèrement irrégulier,En pente - Forte inclinaison,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente sévère,North Ames,Normale,Normale,Maison individuelle,Deux étages,Moyenne,Moyenne,1969,1969,Pignon,Bardeau composite standard,Contreplaqué,Contreplaqué,Briques en façade,192,Moyen,Moyen,PConc,Bon,Moyen,Exposition au niveau moyen,Fini - Salle de jeux,650,Non fini,0,390,1040.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1040,1040,0,2080,0,1,1,2,5,1,Médiocre,9,Typ,2,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1969.0,Non aménagé,2,504,Moyen,Moyen,Pavé,335,0,0,0,0,0,NA,NA,NA,0,Septembre,2007,Acte de garantie - Conventionnel,Vente entre membres de la famille,135000,11.81303746480054,38,38,38.0,3120.0,0,2.5,1
630,NIVEAUX MULTIPLES OU PARTIELS,Résidentiel basse densité,82,9020,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,North Ames,Proche d'une route secondaire,Normale,Maison individuelle,Niveaux divisés,Au-dessus de la moyenne,Moyenne,1964,1964,Pignon,Bardeau en bois,Contreplaqué,Revêtement en bois,Briques en façade,259,Moyen,Moyen,CBlock,Moyen,Moyen,Bonne exposition,Fini - Excellent,624,Fini - Salle de jeux,336,288,1248.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1350,0,0,1350,1,0,1,1,3,1,Moyen,6,Typ,0,NA,Attaché à la maison,1964.0,Partiellement aménagé,2,520,Moyen,Moyen,Pavé,176,0,0,0,0,0,NA,Bonne intimité,NA,0,Juin,2008,Acte de garantie - Conventionnel,Vente normale,168500,12.034696963475044,44,44,44.0,2598.0,0,2.5,1
631,2 ÉTAGES 1945 ET PLUS ANCIEN,Résidentiel densité moyenne,50,9000,Pavé,Gravier,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Vieille Ville,Proche d'une artère principale,Normale,Maison individuelle,Deux étages,Moyenne,Au-dessus de la moyenne,1880,1991,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Moyen,Moyen,BrkTil,Médiocre,Médiocre,Aucune exposition,Non fini,0,Non fini,0,636,636.0,Chauffage à gaz,Moyen,Oui,Fusibles anciens,1089,661,0,1750,0,0,1,0,3,1,Excellent,8,Typ,0,NA,Détaché de la maison,1937.0,Non aménagé,1,240,Médiocre,Mauvais,Gravier/Terre,0,0,293,0,0,0,NA,Intimité minimale,NA,0,Juin,2006,Acte de garantie - Conventionnel,Vente anormale,124000,11.728044909070784,126,15,69.0,2386.0,293,1.0,1
632,1 ÉTAGE PUD (Lotissement planifié) - 1946 ET PLUS RÉCENT,Résidentiel basse densité,34,4590,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northridge Heights,Normale,Normale,Maison de ville (intérieur),Un étage,Très bon,Moyenne,2006,2006,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Pierre,108,Bon,Moyen,PConc,Bon,Bon,Exposition moyenne,Fini - Excellent,24,Non fini,0,1530,1554.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1554,0,0,1554,0,0,2,0,2,1,Bon,6,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,2006.0,Partiellement aménagé,2,627,Moyen,Moyen,Pavé,156,73,0,0,0,0,NA,NA,NA,0,Août,2007,Acte de garantie - Conventionnel,Vente normale,209500,12.252483791602629,1,1,1.0,3108.0,73,2.0,1
633,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,85,11900,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northwest Ames,Normale,Normale,Maison individuelle,Un étage,Bon,Moyenne,1977,1977,Pente,Bardeau composite standard,Contreplaqué,Contreplaqué,Briques en façade,209,Moyen,Bon,CBlock,Moyen,Moyen,Aucune exposition,Fini - Moyenne,822,Non fini,0,564,1386.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1411,0,0,1411,0,0,2,0,3,1,Moyen,6,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1977.0,Aménagé,2,544,Moyen,Moyen,Pavé,192,0,0,0,0,0,NA,NA,NA,0,Avril,2009,Acte de garantie - Conventionnel,Vente entre membres de la famille,82500,11.320565693461432,32,32,32.0,2797.0,0,2.0,1
