identifiant,type_de_logement,zonage_classification,facade_en_pieds,superficie_du_lot_pieds,type_de_route,acces_a_une_allee,forme_du_lot,topographie_du_terrain,services_publics_disponibles,configuration_du_lot,inclinaison_du_terrain,quartier,proximite_1ere_condition,proximite_2e_condition,type_de_batiment,style_de_maison,qualite_globale,etat_general,annee_de_construction,annee_de_renovation,style_de_toit,materiau_du_toit,revetement_exterieur_1,revetement_exterieur_2,type_de_parement_en_maconnerie,surface_de_parement_pieds,qualite_exterieure,etat_exterieur,type_de_fondation,qualite_du_sous_sol,etat_general_du_sous_sol,exposition_du_sous_sol,type_de_finition_sous_sol_1,surface_finie_sous_sol,type_de_finition_sous_sol_2,surface_finie_sous_sol_2,surface_non_finie_sous_sol,total_surface_sous_sol,type_de_chauffage,qualite_du_chauffage,climatisation_centrale,systeme_electrique,surface_du_premier_etage,surface_du_deuxieme_etage,surface_finie_basse_qualite_pieds,surface_habitable_totale,salles_de_bain_completes_sous_sol,demi_salles_de_bain_sous_sol,salles_de_bain_completes,demi_salles_de_bain,chambres_hors_sous_sol,cuisines_hors_sous_sol,qualite_de_la_cuisine,total_des_pieces_hors_sous_sol,fonctionnalite_globale,nombre_de_cheminees,qualite_de_la_cheminee,type_de_garage,annee_de_construction_du_garage,finition_interieure_du_garage,capacite_du_garage_voitures,surface_du_garage,qualite_du_garage,condition_du_garage,allee_pavee,surface_du_deck_en_bois,surface_du_porche_ouvert,porche_ferme,porche_trois_saisons,porche_screen,surface_de_la_piscine_pieds,qualite_de_la_piscine,cloture,caracteristiques_supplementaires,valeur_des_caracteristiques_supplementaires,mois_de_vente,annee_de_vente,type_de_vente,condition_de_la_vente,prix_de_vente
647,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,60,7200,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Moyenne,Moyenne,1950,1950,Pente,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Moyen,CBlock,NA,NA,NA,NA,0,NA,0,0,0.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1048,0,0,1048,0,0,1,0,3,1,Moyen,7,Min1,0,NA,Détaché de la maison,1950,Non aménagé,2,420,Moyen,Moyen,Pavé,0,27,0,0,0,0,NA,NA,NA,0,Juillet,2008,Acte de garantie - Conventionnel,Vente normale,98300
648,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,85,10452,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Edwards,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Moyenne,1953,1953,Pente,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Pierre,216,Moyen,Moyen,CBlock,Moyen,Moyen,Exposition moyenne,Fini - Salle de jeux,500,Non fini,0,594,1094.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1094,0,0,1094,0,0,1,0,3,1,Moyen,5,Typ,2,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,1953,Partiellement aménagé,2,495,Moyen,Moyen,Pavé,0,0,0,0,287,0,NA,NA,NA,0,Juin,2008,Acte de garantie - Conventionnel,Vente normale,155000
649,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,70,7700,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Proche d'un espace vert ou parc,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Moyenne,1966,1966,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Briques en façade,351,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,756,756.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1051,788,0,1839,0,0,1,1,4,1,Moyen,7,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1966,Non aménagé,2,442,Moyen,Moyen,Pavé,0,124,216,0,0,0,NA,NA,NA,0,Juin,2010,Acte de garantie - Conventionnel,Vente normale,155000
650,PUD MULTI-NIVEAUX - INCLUT NIVEAUX DIVISÉS,Résidentiel densité moyenne,21,1936,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Meadow Village,Normale,Normale,Maison de ville (intérieur),Foyer divisé,En dessous de la moyenne,Au-dessus de la moyenne,1970,1970,Pignon,Bardeau composite standard,Panneau de ciment,Panneau de ciment,Aucune,0,Moyen,Moyen,CBlock,Bon,Moyen,Exposition au niveau moyen,Partiellement fini,131,Fini - Excellent,499,0,630.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,630,0,0,630,1,0,1,0,1,1,Moyen,3,Typ,0,NA,NA,NA,NA,0,0,NA,NA,Pavé,0,0,0,0,0,0,NA,Intimité minimale,NA,0,Décembre,2007,Acte de garantie - Conventionnel,Vente normale,84500
651,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel flottant,65,8125,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Somerset,Normale,Normale,Maison individuelle,Deux étages,Bon,Au-dessus de la moyenne,2007,2007,Pignon,Bardeau composite standard,Panneau de ciment,Panneau de ciment,NA,NA,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Non fini,0,Non fini,0,813,813.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,822,843,0,1665,0,0,2,1,3,1,Bon,7,Typ,0,NA,Attaché à la maison,2007,Partiellement aménagé,2,562,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Mai,2008,Acte de garantie - Conventionnel,Vente normale,205950
652,2 ÉTAGES 1945 ET PLUS ANCIEN,Résidentiel basse densité,60,9084,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Edwards,Proche d'une artère principale,Normale,Maison individuelle,Deux étages,En dessous de la moyenne,Moyenne,1940,1950,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Exposition moyenne,Non fini,0,Non fini,0,755,755.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,755,755,0,1510,1,0,1,0,4,1,Moyen,7,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Détaché de la maison,1940,Non aménagé,1,296,Médiocre,Mauvais,Pavement partiel,120,0,0,0,0,0,NA,Intimité minimale,NA,0,Octobre,2009,Acte de garantie - Conventionnel,Vente normale,108000
653,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,70,8750,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,College Creek,Normale,Normale,Maison individuelle,Deux étages,Bon,Moyenne,1996,1996,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Non fini,0,Non fini,0,880,880.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,909,807,0,1716,0,0,2,1,2,1,Bon,7,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1996,Partiellement aménagé,2,512,Moyen,Moyen,Pavé,0,120,0,0,0,0,NA,NA,NA,0,Juillet,2009,Acte de garantie - Conventionnel,Vente normale,191000
654,1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel densité moyenne,60,10320,Pavé,Gravier,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Iowa DOT et chemin de fer,Normale,Normale,Maison individuelle,"Un étage et demi, aménagé",Au-dessus de la moyenne,Bon,1906,1995,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,756,756.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,756,713,0,1469,0,0,1,0,3,1,Moyen,7,Typ,0,NA,Détaché de la maison,1906,Non aménagé,1,216,Moyen,Moyen,Pavé,57,0,239,0,0,0,NA,Intimité minimale,NA,0,Juin,2008,Acte de garantie - Conventionnel,Vente normale,135000
655,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,91,10437,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Northridge,Normale,Normale,Maison individuelle,Un étage,Très bon,Au-dessus de la moyenne,1995,1995,Pente,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Briques en façade,660,Bon,Bon,PConc,Bon,Moyen,Bonne exposition,Fini - Excellent,1696,Non fini,0,413,2109.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,2113,0,0,2113,1,0,2,1,2,1,Bon,7,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1995,Aménagé,3,839,Moyen,Moyen,Pavé,236,46,0,0,0,0,NA,NA,NA,0,Août,2008,Acte de garantie - Conventionnel,Vente normale,350000
656,2 ÉTAGES PUD - 1946 ET PLUS RÉCENT,Résidentiel densité moyenne,21,1680,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Briardale,Normale,Normale,Maison de ville (intérieur),Deux étages,Au-dessus de la moyenne,Moyenne,1971,1971,Pignon,Bardeau composite standard,Panneau dur,Stuc imitation,Briques en façade,381,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,525,525.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,525,567,0,1092,0,0,1,1,3,1,Moyen,6,Typ,0,NA,Détaché de la maison,1971,Non aménagé,1,264,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,NA,NA,0,Mars,2010,Acte de garantie - Conventionnel,Vente entre membres de la famille,88000
657,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,72,10007,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Moyenne,Bon,1959,2006,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,Briques en façade,54,Bon,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Moyenne,806,Non fini,0,247,1053.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1053,0,0,1053,1,0,1,1,3,1,Bon,5,Typ,0,NA,Attaché à la maison,1959,Partiellement aménagé,1,312,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,Intimité minimale,NA,0,Août,2008,Acte de garantie - Conventionnel,Vente normale,145500
658,2 ÉTAGES 1945 ET PLUS ANCIEN,Résidentiel basse densité,60,7200,Pavé,NA,Régulier,En pente - Forte inclinaison,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente modérée,Crawford,Normale,Normale,Maison individuelle,Deux étages,Bon,Au-dessus de la moyenne,1931,2000,Pignon,Bardeau composite standard,Stuc,Wd Shng,Aucune,0,Moyen,Médiocre,BrkTil,Bon,Moyen,Aucune exposition,Non fini,0,Non fini,0,776,776.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,851,651,0,1502,0,0,1,1,3,1,Moyen,6,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,1931,Partiellement aménagé,1,270,Moyen,Moyen,Pavement partiel,0,0,112,0,0,0,NA,Intimité minimale,NA,0,Février,2008,Acte de garantie - Conventionnel,Vente normale,149000
659,1 ÉTAGE ET DEMI - AMÉNAGÉ - TOUS ÂGES,Résidentiel basse densité,78,17503,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Proche d'une artère principale,Normale,Maison individuelle,"Un étage et demi, aménagé",Au-dessus de la moyenne,Moyenne,1948,1950,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Non fini,0,Non fini,0,912,912.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,912,546,0,1458,0,1,1,0,3,1,Moyen,6,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,1948,Non aménagé,1,330,Moyen,Moyen,Pavé,192,0,0,0,0,0,NA,NA,NA,0,Janvier,2010,Acte de garantie - Conventionnel,Vente anormale,97500
660,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,75,9937,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Edwards,Normale,Normale,Maison individuelle,Un étage,Moyenne,Bon,1964,1999,Pente,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Bon,PConc,Moyen,Moyen,Aucune exposition,Partiellement fini,637,Non fini,0,849,1486.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1486,0,0,1486,1,0,1,0,3,1,Moyen,7,Typ,0,NA,Détaché de la maison,1968,Aménagé,2,480,Moyen,Moyen,Pavé,0,0,0,0,0,0,NA,Intimité minimale,NA,0,Mars,2009,Acte de garantie - Conventionnel,Vente normale,167000
661,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,NA,12384,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Cul-de-sac,Pente douce,Northwest Ames,Normale,Normale,Maison individuelle,Deux étages,Bon,Bon,1976,1976,Pignon,Bardeau composite standard,Contreplaqué,Contreplaqué,Briques en façade,233,Moyen,Moyen,CBlock,Bon,Moyen,Aucune exposition,Non fini,0,Non fini,0,793,793.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1142,793,0,1935,0,0,2,1,3,1,Moyen,7,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1976,Partiellement aménagé,2,550,Moyen,Moyen,Pavé,0,113,252,0,0,0,NA,NA,NA,0,Novembre,2007,Acte de garantie - Conventionnel,Vente normale,197900
662,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,52,46589,Pavé,NA,Modérément irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Cul-de-sac,Pente douce,Northridge,Normale,Normale,Maison individuelle,Deux étages,Très bon,Bon,1994,2005,Pente,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,528,Bon,Moyen,PConc,Bon,Bon,Aucune exposition,Fini - Excellent,1361,Fini - Salle de jeux,180,88,1629.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1686,762,0,2448,1,0,2,1,4,1,Bon,8,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1994,Partiellement aménagé,3,711,Moyen,Moyen,Pavé,517,76,0,0,0,0,NA,NA,NA,0,Juillet,2009,Acte de garantie - Conventionnel,Vente normale,402000
663,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,120,13560,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Médiocre,1968,1968,Pente,Bardeau composite standard,Revêtement en bois,Revêtement en bois,Briques en façade,216,Moyen,Moyen,CBlock,Médiocre,Médiocre,Aucune exposition,Non fini,0,Non fini,0,1392,1392.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1392,0,0,1392,1,0,1,0,2,1,Moyen,5,Maj2,2,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1968,Partiellement aménagé,2,576,Moyen,Moyen,Pavé,0,0,240,0,0,0,NA,NA,NA,0,Juillet,2009,Acte de garantie - Conventionnel,Vente normale,110000
664,FOYER DIVISÉ,Résidentiel basse densité,90,10012,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Edwards,Normale,Normale,Maison individuelle,Foyer divisé,En dessous de la moyenne,Moyenne,1972,1972,Pignon,Bardeau composite standard,Contreplaqué,Contreplaqué,Aucune,0,Moyen,Moyen,CBlock,Bon,Moyen,Exposition au niveau moyen,Partiellement fini,920,Fini - Salle de jeux,180,38,1138.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1181,0,0,1181,1,0,2,0,3,1,Moyen,6,Typ,0,NA,Détaché de la maison,1974,Partiellement aménagé,2,588,Moyen,Moyen,Pavé,0,0,180,0,0,0,NA,Intimité minimale,NA,0,Avril,2008,Acte de garantie - Conventionnel,Vente normale,137500
665,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,49,20896,Pavé,NA,Modérément irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Cul-de-sac,Pente douce,Somerset,Adjacente à une voie ferrée nord-sud,Normale,Maison individuelle,Un étage,Très bon,Moyenne,2005,2006,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Bon,Moyen,PConc,Excellent,Moyen,Exposition moyenne,Fini - Excellent,1721,Non fini,0,356,2077.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,2097,0,0,2097,1,0,1,1,1,1,Excellent,8,Typ,1,Excellent - Cheminée en maçonnerie exceptionnelle,Attaché à la maison,2005,Aménagé,3,1134,Moyen,Moyen,Pavé,192,267,0,0,0,0,NA,NA,NA,0,Janvier,2006,Maison neuve construite et vendue,Maison incomplète,423000
666,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,106,11194,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente douce,Gilbert,Normale,Normale,Maison individuelle,Deux étages,Très bon,Moyenne,2000,2000,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Briques en façade,40,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Non fini,0,Non fini,0,1406,1406.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1454,482,0,1936,0,0,2,1,3,1,Bon,7,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,2000,Partiellement aménagé,2,504,Moyen,Moyen,Pavé,188,124,0,0,0,0,NA,NA,NA,0,Novembre,2006,Acte de garantie - Conventionnel,Vente normale,230500
667,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,NA,18450,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Moyenne,1965,1979,Plat,Gravier et bitume,Contreplaqué,Contreplaqué,Briques communes,113,Moyen,Bon,CBlock,Bon,Moyen,Aucune exposition,Fini - Qualité inférieure,187,Fini - Salle de jeux,723,111,1021.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1465,915,0,2380,0,0,2,1,3,1,Moyen,7,Sev,1,Mauvais - Poêle de type Ben Franklin,Abris voiture,1965,Non aménagé,2,596,Moyen,Moyen,Pavé,0,265,0,0,0,0,NA,NA,NA,0,Août,2007,Acte de garantie - Conventionnel,Vente anormale,129000
668,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,65,8125,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Sawyer Ouest,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Moyenne,1994,1998,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,Briques en façade,258,Moyen,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,1138,Non fini,0,270,1408.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1679,0,0,1679,1,0,2,0,3,1,Bon,7,Typ,1,Médiocre - Préfabriquée au sous-sol,Attaché à la maison,1994,Partiellement aménagé,2,575,Moyen,Moyen,Pavé,224,42,0,0,0,0,NA,NA,NA,0,Octobre,2008,Acte de garantie - Conventionnel,Vente normale,193500
669,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,NA,14175,Pavé,NA,Régulier,Bordure - Montée rapide,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot d'angle,Pente modérée,Sawyer,Normale,Normale,Maison individuelle,Un étage,Moyenne,Au-dessus de la moyenne,1956,1987,Pignon,Bardeau composite standard,Panneau de ciment,Revêtement en bois,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Salle de jeux,988,Non fini,0,200,1188.0,Chauffage à gaz,Bon,Oui,Disjoncteurs,1437,0,0,1437,1,0,1,1,3,1,Moyen,6,Min2,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Détaché de la maison,1999,Non aménagé,2,576,Moyen,Moyen,Pavé,304,0,0,0,0,0,NA,NA,NA,0,Novembre,2006,Acte de garantie - Conventionnel,Vente normale,168000
670,1 ÉTAGE 1945 ET PLUS ANCIEN,Résidentiel basse densité,80,11600,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Crawford,Normale,Normale,Maison individuelle,Un étage,En dessous de la moyenne,Moyenne,1922,1950,Pignon,Bardeau composite standard,Revêtement métallique,Revêtement métallique,Aucune,0,Moyen,Moyen,BrkTil,Médiocre,Moyen,Aucune exposition,Non fini,0,Non fini,0,700,700.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1180,0,0,1180,0,0,1,0,2,1,Médiocre,5,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Détaché de la maison,1922,Non aménagé,1,252,Moyen,Médiocre,Pavé,0,0,67,0,0,0,NA,NA,NA,0,Juillet,2006,Acte de garantie - Conventionnel,Vente normale,137500
671,2 ÉTAGES 1946 ET PLUS RÉCENT,Résidentiel basse densité,64,8633,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Double façade,Pente douce,College Creek,Normale,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Moyenne,2005,2005,Pignon,Bardeau composite standard,Revêtement en vinyle,Revêtement en vinyle,Aucune,0,Bon,Moyen,PConc,Bon,Moyen,Aucune exposition,Fini - Excellent,193,Non fini,0,545,738.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,738,738,0,1476,1,0,2,1,3,1,Bon,7,Typ,0,NA,Attaché à la maison,2005,Aménagé,2,540,Moyen,Moyen,Pavé,100,35,0,0,0,0,NA,NA,NA,0,Février,2009,Acte de garantie - Conventionnel,Vente normale,173500
672,2 ÉTAGES 1945 ET PLUS ANCIEN,Résidentiel haute densité,54,6629,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Edwards,Proche d'une artère principale,Normale,Maison individuelle,Deux étages,Au-dessus de la moyenne,Au-dessus de la moyenne,1925,1950,Gabriel (grange),Bardeau composite standard,Revêtement en bois,Revêtement en bois,Aucune,0,Moyen,Bon,BrkTil,Moyen,Moyen,Aucune exposition,Partiellement fini,551,Non fini,0,121,672.0,Chauffage à gaz,Moyen,Non,Disjoncteurs,697,672,0,1369,1,0,2,0,3,1,Moyen,6,Typ,0,NA,Détaché de la maison,1930,Non aménagé,1,300,Moyen,Moyen,Pavé,147,0,0,0,0,0,NA,NA,NA,0,Juillet,2009,Acte de garantie - Conventionnel,Vente normale,103600
673,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,NA,11250,Pavé,NA,Légèrement irrégulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Veenker,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Au-dessus de la moyenne,1977,1977,Pignon,Bardeau composite standard,Contreplaqué,Contreplaqué,Aucune,0,Bon,Moyen,CBlock,Bon,Moyen,Aucune exposition,Fini - Moyenne,767,Non fini,0,441,1208.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1208,0,0,1208,1,0,1,1,3,1,Moyen,6,Typ,1,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1977,Partiellement aménagé,2,546,Moyen,Moyen,Pavé,198,42,0,0,0,0,NA,NA,NA,0,Juin,2006,Acte de garantie - Conventionnel,Vente normale,165000
674,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,110,14442,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,Crawford,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Bon,1957,2004,Pente,Bardeau composite standard,Panneau de ciment,Panneau de ciment,Briques en façade,106,Moyen,Moyen,PConc,Moyen,Moyen,Aucune exposition,Fini - Excellent,1186,Non fini,0,291,1477.0,Chauffage à gaz,Excellent,Oui,Disjoncteurs,1839,0,0,1839,1,0,2,0,3,1,Bon,7,Typ,2,Moyen - Préfabriquée ou en maçonnerie au sous-sol,Attaché à la maison,1957,Aménagé,2,416,Moyen,Moyen,Pavé,0,87,0,0,200,0,NA,NA,NA,0,Juin,2007,Acte de garantie - Conventionnel,Vente normale,257500
675,1 ÉTAGE 1946 ET PLUS RÉCENT - TOUS STYLES,Résidentiel basse densité,80,9200,Pavé,NA,Régulier,Plat/Niveau,"Tous les services publics (Électricité, Gaz, Eau, Égout)",Lot intérieur,Pente douce,North Ames,Normale,Normale,Maison individuelle,Un étage,Au-dessus de la moyenne,Au-dessus de la moyenne,1965,1965,Pignon,Bardeau composite standard,Panneau dur,Panneau dur,Aucune,0,Moyen,Moyen,CBlock,Moyen,Moyen,Aucune exposition,Fini - Salle de jeux,892,Non fini,0,244,1136.0,Chauffage à gaz,Moyen,Oui,Disjoncteurs,1136,0,0,1136,1,0,1,0,3,1,Moyen,5,Typ,1,Bon - Cheminée en maçonnerie au rez-de-chaussée,Attaché à la maison,1965,Partiellement aménagé,1,384,Moyen,Moyen,Pavé,426,0,0,0,0,0,NA,NA,NA,0,Juillet,2008,Acte de garantie - Conventionnel,Vente normale,140000
